C:\Users\user\Desktop\labPython2_3\dataset3\0.txt,dataset3\0.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\10.txt,dataset3\10.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1000.txt,dataset3\1000.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\10000.txt,dataset3\10000.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1002.txt,dataset3\1002.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1003.txt,dataset3\1003.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1006.txt,dataset3\1006.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1007.txt,dataset3\1007.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1016.txt,dataset3\1016.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1017.txt,dataset3\1017.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\102.txt,dataset3\102.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1021.txt,dataset3\1021.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1023.txt,dataset3\1023.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1024.txt,dataset3\1024.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\1025.txt,dataset3\1025.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1027.txt,dataset3\1027.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\1028.txt,dataset3\1028.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\1029.txt,dataset3\1029.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1030.txt,dataset3\1030.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1032.txt,dataset3\1032.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1033.txt,dataset3\1033.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1034.txt,dataset3\1034.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1035.txt,dataset3\1035.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1036.txt,dataset3\1036.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1037.txt,dataset3\1037.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1038.txt,dataset3\1038.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1042.txt,dataset3\1042.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1044.txt,dataset3\1044.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1045.txt,dataset3\1045.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\1047.txt,dataset3\1047.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1048.txt,dataset3\1048.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1049.txt,dataset3\1049.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\105.txt,dataset3\105.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1050.txt,dataset3\1050.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1052.txt,dataset3\1052.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1055.txt,dataset3\1055.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1056.txt,dataset3\1056.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1057.txt,dataset3\1057.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1059.txt,dataset3\1059.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\106.txt,dataset3\106.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1061.txt,dataset3\1061.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1064.txt,dataset3\1064.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1067.txt,dataset3\1067.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1068.txt,dataset3\1068.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1069.txt,dataset3\1069.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1070.txt,dataset3\1070.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1071.txt,dataset3\1071.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1072.txt,dataset3\1072.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1077.txt,dataset3\1077.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1078.txt,dataset3\1078.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1079.txt,dataset3\1079.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\108.txt,dataset3\108.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1082.txt,dataset3\1082.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1083.txt,dataset3\1083.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1086.txt,dataset3\1086.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1088.txt,dataset3\1088.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1092.txt,dataset3\1092.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1093.txt,dataset3\1093.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\1094.txt,dataset3\1094.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1095.txt,dataset3\1095.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1096.txt,dataset3\1096.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1101.txt,dataset3\1101.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1104.txt,dataset3\1104.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1107.txt,dataset3\1107.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1109.txt,dataset3\1109.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\111.txt,dataset3\111.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1111.txt,dataset3\1111.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1112.txt,dataset3\1112.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1114.txt,dataset3\1114.txt,3
C:\Users\user\Desktop\labPython2_3\dataset3\1115.txt,dataset3\1115.txt,5
C:\Users\user\Desktop\labPython2_3\dataset3\1116.txt,dataset3\1116.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1117.txt,dataset3\1117.txt,1
C:\Users\user\Desktop\labPython2_3\dataset3\1119.txt,dataset3\1119.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1123.txt,dataset3\1123.txt,4
C:\Users\user\Desktop\labPython2_3\dataset3\1125.txt,dataset3\1125.txt,2
C:\Users\user\Desktop\labPython2_3\dataset3\1127.txt,dataset3\1127.txt,5
